OverallStatus,StartDate,MaximumAge,MinimumAge,EnrollmentType,EnrollmentCount,DetailedDescription,BriefSummary
Recruiting,January 2017,,12 Years,Anticipated,80,,"The purpose of the study is to determine the effect of setmelanotide (RM-493) on weight, hunger assessments and other factors in patients with rare genetic disorders of obesity, including POMC deficiency, LepR deficiency, Bardet-Biedl syndrome and Alström syndrome."
Enrolling by invitation,"August 15, 2019",85 Years,4 Years,Actual,161,"This protocol is a retrospective review of donor search results for patients with inherited immunodeficiency diseases requiring allogeneic hematopoietic stem cell transplant (allo HSCT).

The study will involve collecting information related to the donor search for transplant candidates and their prospective donors, using records in CRIS, Crimson, the HLA lab, and records in the transplant coordinator office (such as shipping logs of HLA typing kits). The study will not involve the use of specimens or participant contact.

The participants whose records will be reviewed will be those who were evaluated for allo HSCT or donation on an NIH primary immunodeficiency transplant protocol at a time when haplo donors were eligible (March 30, 2012 to present for GATA2, January 1, 2015 for CGD, October 6, 2015 to present for 16-C-0003, and May 21, 2014 to present for DOCK8).

The Principal Investigators on the included protocols have granted permission to conduct this study and have verified that none of the original protocols or informed consent documents preclude such a review of clinical data.","Background:

People who have certain immune system diseases often need a procedure called allo HSCT. This is short for allogeneic hematopoietic stem cell transplant. This might cure people with these diseases. Many people who need allo HSCT need donors who are relatives with similar genes. But the disease may also affect those in the donor pool. This may mean there are fewer options for people with inherited diseases. Researchers want to collect data on how transplant candidates and their donors are found.

Objective:

To find out how genetic diseases and the ways they are inherited affect the breadth of options for allo HSCT donors.

Eligibility:

Records from studies that have already been done. These will be for people ages 4 and older who were evaluated for allo HSCT or to be donors.

Design:

Participants already signed a consent form for their records to be shared.

Researchers will study the participant data.

Data will be stored in an electronic system. Researchers will use passwords to protect the data."
Unknown status,October 2005,,6 Months,Anticipated,200,"It is proposed to identify and recruit individuals and/or families with specified the disorders listed above. 10-20 ml (2-4 teaspoons) of peripheral blood will be collect¬ed from all adult subjects. Smaller volumes of blood would be collected from children based on their age/size. In some cases, as an adequate alternative to collecting peripheral blood, buccal cells will be collected using cheek swabs (Epicentre Biotechnologies). All relevant living members of each pedigree will be asked to partici¬pate, free of charge, on a research basis only. Genomic DNA will be extracted by standard methods and used as template for Polymerase Chain Reac¬tion (PCR) amplification reactions. Individuals will be genotyped at markers and candidate gene sequenced.

Essentially two approaches will be used:

Circumstances that may provide knowledge of candidate genes include reviews of the literature, biology of the disease, understanding of biological pathways, chromosomal rearrangements, mutants in model organisms etc. When candidate genes exist, it is proposed to use linked microsatellite and/or single nucleotide polymorphism (SNP) PCR primer pairs on the DNA from families to determine if there is co-segregation of the disease and markers and thus linkage between the disease gene and previously mapped markers.

If the disease appears to be linked to the candidate gene, PCR primers flanking all coding exons will be used to amplify the exons and intron/exon boundaries followed by sequencing to detect disease-causing mutations. A web site that enables the design of primers to amplify candidate gene exons is available (http://genome.ucsc.edu/cgi-bin/hgGateway ). If a very strong candidate gene exists, candidate gene sequencing will be performed on affected individual samples without first performing a linkage study.

When no obvious candidate genes exist, and a family of sufficient size has been collected, it is proposed to use Affymetrix SNP microarrays to perform a human genome-wide search for linkage. We have used this approach successfully before (Shrimpton et al 2004), utilizing the whole genome linkage analysis with the Human Mapping 10K Array (Affymetrix Inc., Santa Clara, CA). The 10K Array permits the simultaneous genotyping of more than 11,200 mapped SNPs spaced throughout the human genome at 210 KB intervals. Affymetrix 100K and 500K arrays are also available. SNP genotype information will be analyzed using Varia (Silicon Genetics) and/or Merlin software. The data will be used to define a critical region. If statistically significant segregation is detected, candidate genes within the critical region will be evaluated and ranked in order of their likelihood of being the disease gene. Candidate genes will then be sequenced as detailed above.

Summary.

Identify candidate disease genes from linkage studies, strong circumstantial evidence or clues from the phenotype.
Sequence candidate genes to detect disease-causing mutations.
Evaluation of detected variation.","This is a a study to identify inherited disease genes. The study will use molecular techniques to map genetic diseases using techniques such as Affymetrix SNP chips. The powerful combination of the information generated by the Human Genome Project and technical advances such as microarrays enables attempts to identify genes responsible for inherited disorders more possible than ever before. Starting with even modest pedigrees of only a few individuals, or even single individuals, it is possible to identify the gene(s) involved. It is proposed to collect up to 20 ml of peripheral blood and/or buccal cell samples from subjects and relevant family members. Currently the following disorders are approved for investigation.

The current list of disorders:

Aarskog-Scott syndrome, Café-au-Lait spots, Cerebral cavernous malformation, delXp, del2q, del10p, del11q, del12p, del13q, del14q, del16q, del17q, del18q, del Xp21, Choreoathetosis, Congenital Vertical Talus (CVT), Clubfoot, Tarsal coalition and other congenital limb deformities, Cystic Fibrosis (CF)-like disease, Desbuquois syndrome, Droopy Eyelid syndrome (Ptosis), Fanconi-Bickel syndrome (FBS), FENIB (familial encephalopathy with neuroserpin inclusion bodies), FG syndrome, Idiopathic generalised epilepsy (IGE), Renpenning syndrome, transient neonatal diabetes with 6q UPD, translocation (13;14), translocation (3;8), translocation (2;18), Uncharacterized familial dementia and X-linked mental retardation (XLMR)."
Not yet recruiting,"January 17, 2019",75 Years,18 Years,Anticipated,50,"Heart failure (HF) is a continuously growing public health problem. Presently, almost 40 million people are affected by heart failure worldwide. According to World Health Organization (WHO), cardiovascular diseases are number one cause of deaths globally . In developed countries, the prevalence of heart failure is approximately 1-2% of the adult population. In Egypt, the prevalence of HF with preserved ejection fraction represents about 34.2 % while heart failure with reduced ejection fraction represents 65.8 % of total heart failure cases .

A broad range of cardiac diseases, inherited disorders, and systematic diseases can result in heart failure. The situation is even more complex, as heart failure can have mixed etiologies. Heart failure itself represents a ﬁnal common pathway in response to genetic and/or environmental inﬂuences. A clear genetic identification can positively influence patient treatment and, thereby, improve prognosis. Besides, understanding the pathogenesis of genetically induced heart failure at it molecular level may lead to the development of specific individual heart failure therapies in the future.

The human heart uses large amounts of amino acids (AAs) as regulators of both myocardium protein turnover and energy metabolism, but uses few AAs as substrates for direct energy production .The heart's reliance on AAs increases during heart failure because of high myocardium anabolic activity and cardiomyocyte energy shortage. Anabolic activity of the ventricle wall is induced by both high levels of ventricular pressure and a myocardial substrate shift from fatty acid oxidation (FAOX) to glucose oxidation (GLUOX).

Various mechanisms may potentially be operating during CHF to impair arterial AAs, including inadequate protein-energy intake, body AA overconsumption, particularly in hyper metabolic states, increased remodeling activity of the heart and lung and ﬁnally, the development of pathogenic gut ﬂora. Understanding arterial AA levels could be useful to understand whether heart anabolic activity and remaining heart capacity of energy production are being threatened by low AA s and furthermore may allow us to correct altered AAs through diet and/or supplementation of speciﬁc free AAs.

A reduction in essential AAs in CHF subjects, shows the disease severity-related decline of arterial levels of those non-essential (and essential methionine) AAs with the greatest impact on myocardium energetics, anti-oxidative capacity and myocardial protein remodeling.

Calcium cycling protein and heart failure Ca2+-dependent signaling is highly regulated in cardiomyocytes and determines the force of cardiac muscle contraction. Ca2+ cycling refers to the release and reuptake of intracellular Ca2+ that drives muscle contraction and relaxation in failing hearts. Ca2+ cycling is profoundly altered, resulting in impaired contractility and fatal cardiac arrhythmias. The key defects in Ca2+ cycling occur at the level of the sarcoplasmic reticulum (SR), a Ca2+ storage organelle in muscle. Defects in the regulation of Ca2+ cycling proteins including the ryanodine receptor 2 (RyR2) a cardiac Ca2+ release channel macromolecular complexes and the sarcoplasmic/endoplasmic reticulum Ca2+ ATPase2a (SERCA2a) contribute to heart failure.

Phosphorylation of the cardiac ryanodine receptor (RyR2) phospho-site S2808 has hallmark of heart failure (HF) and a critical mediator of the physiological fight or flight response of the heart. In support of this hypothesis, mice unable to undergo phosphorylation at RyR2-S2808 (S2808A) were significantly protected against HF and displayed a blunted response to adrenergic stimulation.","Heart failure (HF) is a continuously growing public health problem. The study aim to provide novel insights into the role of amino acids in pathogenesis of heart failure, to obtain a better understanding of cardiac ryanodine Receptor 2 role as an essential player in excitation-contraction coupling in pathogenesis of heart failure and clarify the potential value of these markers as targets for heart failure therapy"
Completed,May 2006,,,Actual,367,"Two types of genetic diseases are associated with abnormal mucociliary clearance. The first type results in defective ciliary function and includes primary ciliary dyskinesia (PCD), also known as Kartagener Syndrome. The second type results in defective ion transportation and includes variant cystic fibrosis (CF) and pseudohypoaldosteronism (PHA). The clinical manifestations of these three diseases overlap, and current evaluation procedures are inadequate for an accurate and timely diagnosis. A delayed diagnosis, coupled with poorly defined disease categories, results in sub-optimal treatment regimens. The purpose of this study is to better define the clinical and genetic features of PCD, variant CF, and PHA to develop improved diagnostic procedures. The study will also compare prevalence and age-related information among the three diseases and classic CF. Outcomes of this study may lead to improved clinical care and novel therapeutic approaches for rare genetic disorders of the airways.

Prior to study entry, previous clinical data on all participants will be reviewed to ensure that individuals do not have common variants of asthma. In some cases, further clinical evaluation (sweat chloride testing, immunodeficiency testing, and a high-resolution computed tomography scan) may be recommended. Eligible participants will attend an initial six-hour study visit similar to a standard diagnostic evaluation. The participant's medical history will be reviewed and a physical examination will include height, weight, and vital sign measurements. Respiratory cultures, nasal samples, and blood will be collected. Non-invasive techniques will be used to measure oxyhemoglobin saturation levels and airflow; a chest x-ray will be required if none has been done in the last six months.

If a firm diagnosis of PCD or variant CF has not been established after completion of the first study visit, the participant may return for additional visits. Salivary and semen samples may be collected from some individuals. A sweat chloride test and nasal potential difference test may also be performed.","Mucociliary clearance, in which mucus secretions are cleared from the breathing airways, is the primary defense mechanism for the lungs. Inhaled particles, including microbes that can cause infections, are normally entrapped in mucus on the airway surfaces and then cleared out by the coordinated action of tiny hair-like structures called cilia. Individuals with primary ciliary dyskinesia, variant cystic fibrosis, and pseudohypoaldosteronism have defective mucociliary clearance. The purpose of this study is to collect clinical and genetic information about these three airway diseases to improve current diagnostic procedures."
Completed,June 2011,18 Years,1 Year,Actual,804,"Subjects with AS, RTT or PWS and normal siblings (controls) will be recruited for study participation.

Subjects will be recruited from the Rare Disease Clinical Research Network (RDCRN) consortium registries for AS, RTT and PWS. The RDCRN registries provide listings of individuals currently enrolled in the RDCRN along with clinical and genetic diagnosis, medical history and contact information.

The RDCRN consortium sites for AS, RTT and PWS will participate in the study. These sites will recruit study participants, obtain informed consent and administer the sleep questionnaires. Institutional Review Board (IRB) approval will be obtained at each RDCRN consortium site.

""Subjects"" is defined as those children with a diagnosis of AS, PWS, and RTT. Subjects will be divided into separate study arms based upon their medical diagnosis. Study arms will consist of: 1) AS group, 2) PWS group, 3) RTT group, and 4) control group. ""Control group"" is defined as normal healthy siblings of subjects.

Study participants and parents/guardians will be asked to complete the study questionnaires during the clinic visit. The questionnaires are brief and should not be difficult to complete. It is anticipated that the questionnaires can be completed in 15-30 minutes. If parents are unable to complete the questionnaires at the time of their scheduled clinic visit they will be asked to take the questionnaires home to complete and to mail them back to the research team. When the research team receives the returned questionnaires they will be reviewed for completion. If questions are skipped or left blank, a member of the research team will call the family to complete the missed questions over the phone.

Parents/guardians are allowed to answer the questions on behalf of the study participants and will be asked to answer all the questions for each age-appropriate questionnaire in order for the responses to be scored correctly. Subjects with AS, RTT and PWS and normal siblings will complete the same questionnaire forms.

Study participants will be administered the questionnaires again in 12-24 months at a follow-up RDCRN clinic visit or by mail to assess the natural history of their sleep behavior and any sleep disorders.

Study participants identified as having a potential severe sleep disorder based on questionnaire responses will be contacted or sent a letter by the study investigators and advised to see a sleep specialist for further evaluation.

Potential ""Subjects"" must be members of the RDCRN consortium registries with available contact and clinical diagnostic information on file. These individuals will be invited to participate in the study at their next regularly scheduled RDCRN visit.

Study recruitment will continue for one year. Subjects with a clinical diagnosis of AS, RTT or PWS, or normal siblings of these individuals will be recruited for study participation.

The sample size of study participants, including controls, will be based upon the number of individuals currently enrolled in the RDCRN consortium registries. Currently the combined number of individuals in the AS, RTT and PWS RDCRN consortium registries is 1082. The breakdown by disorder is: 678 RTT, 172 AS, 141 PWS. Final sample size will be the total number of subjects consented during the one year recruitment period. A projected enrollment total would be approximately 1,000 total individuals ( 500 subjects including 300 RTT, 100 AS, 100 PWS & 500 controls).","This study will investigate sleep behavior in subjects with Angelman Syndrome, Rett Syndrome or Prader-Willi Syndrome.

The study will also investigate sleep behavior in healthy siblings of subjects with Angelman Syndrome, Rett Syndrome or Prader-Willi Syndrome. These individuals will serve as control subjects.

The study will use questionnaires designed to identify sleep disorders and how they affect behavior and quality of life.

The principal goals of this study are:

To see how common sleep disorders are in individuals with Angelman Syndrome, Rett Syndrome or Prader-Willi Syndrome;
To see how sleep disorders affect behavior in these individuals;
To see whether sleep disorders and related behavior problems improve or worsen with age;
To see how specific disease conditions relate to sleep disorders and how bad the sleep disorders are;
To develop new treatment options to improve quality of life and behavior issues; and
To evaluate current treatment options to improve sleep problems in these individuals."
"Active, not recruiting","February 22, 2019",,6 Years,Anticipated,8,"Main and secondary objectives :

The main objective is to study the pathological role of ML mutations in KS to facilitate the identification and characterization of therapeutic strategies to improve the symptoms of patients with KS. Due to the lack of treatment in the KS, the aim is to develop a model of this disease from fibroblasts from patients and reprogram them into mesenchymal stem cells. This approach will generate a KS-specific stem cell bio-bank, allowing the identification of common disturbances caused by the loss of function (LoF) of KMT2D. The impact of the KMT2D LoF on transcription but also the epigenetic mechanisms activated during MSC differentiation will be described. Finally, the therapeutic potential of an epigenome ""editing"" approach to increase the expression of the wild KMT2D allele to restore the functional activity of MLL4 in treated MSCs will be evaluated.

The secondary objective is to evaluate the ability to return to normal after CRISPR/Case9 gene therapy treatment on patients' cells

Methodology (design study, population, description of groups (if applicable), inclusion criteria, non-inclusion, main and secondary judgment criteria, number of subjects to be included, statistical analysis...) :

Starting from primary cells isolated from affected patients, an in vitro model of the disease will be developed. An integrative but alternative strategy approach to obtain mesenchymal stem cells derived from patients to define normal and abnormal transcription and epigenetic circuits during KMT2D LoF will be adopted. By combining the autonomous renewal potential of MSCs with CRISPR/Cas9 technology, an approach to ""editing"" the epigenome for therapeutic purposes to restore MLL4 activity will be developed.

This project will represent a step forward in understanding the molecular mechanisms responsible for KS. The in vitro model will provide the scientific community with an experimental system to study KS. Finally, the aim is to define the molecular basis of KS and develop a therapeutic strategy to improve certain symptoms in patients with KS.

Process (number of visits, duration of inclusions, duration of follow-up):

8 people will be included: 4 patients with Kabuki syndrome authenticated by the molecular genetics study of the KMT2D gene.

4 parents of the same sex as the patient

Feasibility :

In the clinical genetics department of the Montpellier University Hospital, more than 40 patients with Kabuki syndrome are followed.

Impacts / prospects :

The identification of the consequences of mutations in the KMT2D gene on epigenetic mark changes and cellular structural changes as well as the attempt at gene correction by CRISPR/Cas9 will provide a better understanding of the disease (and the genes that are deregulated by post-KMT2D epigenetic changes) and will also open a promising path for gene therapy by CRISPR/Cas9 method.","Starting from isolating primary cells from affected patients, an in vitro disease model system for KS will be developed. Using alternative strategies to obtain patient-derived mesenchymal stem cells, an integrative approach will be adopted for defining both the transcriptional and epigenetic regulatory networks perturbed upon the loss of function of KMT2D. Combining the self-renewal potential of mesenchymal stem cells (MSCs) with CRISPR/Cas9 technology, an epigenome editing approach as therapeutic strategy to rescue the activity of MLL4 will be developed.

A step forward is expected towards the understanding of those the molecular mechanisms governing the aetiology of Kabuki Syndrome (KS) and that the proposed in vitro disease model will provide to the scientific community an experimental system to study the KS. Importantly, the aim is to define the molecular bases of KS and to develop a therapeutic strategy that could ameliorate some of the abnormalities associated with KS."
Recruiting,July 2016,,,Anticipated,102000,"RCI will collect biological samples (such as blood), derived genomic sequences (from DNA and RNA), and clinical features in a Biorepository as a standardized resource for future research studies. The purpose of the Genomics Institute Biorepository is to provide consented samples and data for basic and clinical research related to the genomic cause and treatment of childhood disease, and, in the future, as reference (Quality Control) data to improve the ability to make clinical diagnoses or clinical decision.

A diverse Biorepository of biological samples and clinical data is essential to allow these studies to undertake broad and detailed comparisons. In particular, a large Biorepository will allow Institute-affiliated researchers to identify new causes of diseases or treatment responses in many of the understudied ethnic and racial groups that Rady Children's Hospital, San Diego (RCHSD) serves.

Specifically, the Biorepository, via subsequent individual research protocols, will enable research to improve rates of clinical diagnoses for enrolled subjects and subsequently all affected patients, improve testing capabilities offered to patients, enhance understanding of the mechanisms of disease and treatment responses, and improve clinical management of these diseases. The Biorepository will enroll affected and unaffected individuals and family members, or affected and unaffected tissues, for the purposes of analysis and comparison in order to identify the underlying cause of the disease or treatment in the affected samples. Samples and data will be stored indefinitely and shared with approved researchers to further understanding of genomic components of pediatric diseases.

In addition, the Biorepository will provide a mechanism for making a diagnosis of a genetic disease. That is, once genomic sequences have been derived from biological samples, they will be immediately analyzed. If a genetic disease is identified that appears to explain an affected child's clinical features, then those results will be confirmed in a manner that is compliant with the Clinical Laboratory Improvements Act (CLIA) and College of American Pathologist (CAP) recommendations, and placed in the electronic health record (EHR). Samples confirmed by CLIA and CAP methods will be identified as such and retained for future confirmatory investigations.

Specific Aims

To collect biological samples and associated clinical data (Phenome).
To create, analyze and store genomic data from the biological samples. Genomic data will include genome (DNA) sequences, RNA sequences, and/or other related 'omic data (including pharmacogenomics, transcriptomics, epigenetics, and the microbiome). Some genomic data will be whole genome sequences. For other samples the genomic data will be panels of specific genes or of all exons of genes (the ""Exome"").
To investigate and improve genomics technologies and software to enhance understanding and testing abilities related to childhood diseases and treatment responses.
To make specimens and data available for qualified researchers and collaborators to further the understanding of childhood diseases and treatment responses.
To collect and correlate genomic data from a wide variety of populations and clinical presentations.
To provide sample and data collections with uniform consent, methods of acquisition, storage for genome-based research studies with subsequent IRB approvals.
To analyze and report clinically-confirmed genomic diagnoses and treatment guidance through use of new research technologies.
To identify and study novel gene and disease processes.

The investigator will plan to enroll 3000 subjects per year. Following informed consent, the study team will collect a family history and blood samples. The investigator will collect clinical information from the medical record at the time of enrollment and longitudinally to assess changes in the subject's medical condition as well as collect new symptoms. The study team will scavenge tissue and other biological materials obtained from clinical procedures as indicated by clinical presentation and for future research testing.","Rady Children's Institute for Genomic Medicine (RCI) will collect biological samples (such as blood), derived genomic sequences (from DNA and RNA), and clinical features in a Biorepository as a standardized resource for future research studies. The purpose of the Genomic Institute Biorepository is to provide consented samples and data for basic and clinical research related to the genomic cause and treatment of childhood disease, and, in the future, as reference (Quality Control) data to improve the ability to make clinical diagnoses or clinical decisions.

In addition, the Biorepository will provide a mechanism for making a diagnosis of a genetic disease. That is, once genomic sequences have been derived from biological samples, they will be immediately analyzed. If a genetic disease is identified that appears to explain an affected child's clinical features, then those results will be confirmed by the medically accepted standard, and placed in the electronic health record."
Unknown status,February 2016,39 Years,21 Years,Anticipated,30,"The study is a prospective, single center, single-arm study to evaluate healthy cells which do not carry illnesses, by collecting and performing the histological and genetic analyses of blastocysts, endometrial tissue and cells, which have been formed in the uterus, without any burden of the morbidity and mortality caused by the oocyte collection process, and which thereby have not been subjected to any iatrogenic intervention, with uterine lavage.

The study will involve up to 30 pairs of male and female sexually intimate partners who are carriers for a genetic disease (e.g Sickle Cell Disease or Thalassemia) and at high risk of transmitting the gene.

The female partner will be superovulated to mature multiple oocytes which can be fertilized, inseminated with her partner's sperm through intra-uterine insemination (IUI). Four to six days after IUI, the female partner will undergo a non-surgical uterine lavage procedure to recover preimplantation embryos.

Following lavage, a GnRH antagonist will be administered to cause lysis of multiple corpora lutea to mitigate risk of hyperstimulation from the use of fertility medication and reduce the risk of ectopic pregnancy should the lavage procedure not recover all preimplantation embryos.

Recovered preimplantation embryos may be screened for aneuploidy and genetic disease, then cryopreserved for potential future use by the subjects and the Investigator separate from the purpose of this study.

Each subject participates in the trial for up to 10-20 weeks.","The study will involve up to 30 pairs of male and female sexually intimate partners who are carriers for a genetic disease (e.g Sickle Cell Disease or Thalassemia) and at high risk of transmitting the gene. The female partner will be superovulated to mature multiple oocytes which can be fertilized, inseminated with her partner's sperm through intra-uterine insemination (IUI). Four to six days after IUI, the female partner will undergo a non-surgical uterine lavage procedure to recover preimplantation embryos."
Recruiting,"November 2, 2010",99 Years,,Anticipated,1000,"This protocol is designed to screen subjects (and some family members) with suspected or identified genetic diseases of allergic inflammation or mast cell homeostasis and activation. Patients determined by clinical history and initial outside evaluation by their referring physician to be of interest will be consented and enrolled into this study. Blood specimens stored blood products and derivatives, saliva, hair, finger nail clippings, cord blood, umbilical cord, and/or buccal swabs from such patients and/or their family members will be obtained for research studies related to understanding the genetic and biochemical bases of these diseases. Outside medical records may be obtained for chart review to correlate clinical history to research laboratory testing results. Results will be relayed to the referring physicians and, where applicable, patients will be referred to other appropriate National Institutes of Health protocols for additional clinical evaluation and treatment. The study will enroll up to 1000 subjects and family members.","Background:

Mast cells are responsible for most symptoms of allergic reactions. In some allergic diseases, it is unusually easy to cause mast cells to release their contents and cause allergic reactions. In other cases, mast cells grow abnormally and, in rare cases, can result in tumors. Mast cells also control other parts of the immune system.
Understanding why mast cells behave abnormally in allergic diseases is important to finding better ways for diagnosing and treating these potentially life-threatening disorders.

Objectives:

To screen mast cells at the genetic and functional levels to characterize abnormalities, identify mutations, detect carrier states, and/or develop therapies for such disorders.
To create a library of information about inherited diseases of mast cell homeostasis and activation, including piebaldism (problems with skin and hair pigmentation), anaphylaxis (severe allergic reaction), allergies, asthma, atopic dermatitis (eczema), allergic rhinitis ( hay fever ), food allergies, urticaria/angioedema (hives/swelling), immunodeficiency diseases, and autoimmune diseases.

Eligibility:

Patients between the ages of 1 and 80 years who have been referred by a physician and are known to have or be suspected of having an inherited disorder of mast cells, in particular patients (and their relatives) with piebaldism, allergies, or anaphylaxis that is not caused by allergies.

Design:

Study population will consist of up to 1000 participants in a 5-year period. One third of the study population will consist of patients; the other two thirds will consist of biological relatives.
Evaluation is limited to testing on blood specimens; no treatment will be provided.
Clinical and research laboratory evaluations of patients will include the following:
Clinical evaluation and previous laboratory tests as documented in outside medical records by health care providers. A standard questionnaire will also be administered at the time of subject enrollment.
Blood collection for clinical laboratory testing, tailored to each subject s clinical evaluation where appropriate (5 ml).
Blood collection for research laboratory testing, tailored to each subject s clinical evaluation including genetic screening and assessment of mast cell growth and functioning and storage of additional frozen blood specimens for future studies (up to an additional 30 ml).
Evaluations of blood relatives will include the following:
Clinical evaluation as documented from outside medical records by health care providers and administration of a standard questionnaire.
Blood collection where indicated for diagnostic or research purposes.
After 12 consecutive months on the study, results from initial evaluation will be reviewed. Subjects with findings deemed to be of continued interest will be contacted and invited to remain as active participants to this protocol for another year, provided that they renew their consent to participate."
Recruiting,"February 18, 2010",,1 Month,Anticipated,2000,"We aim to use whole-genome medical sequencing (WGMS) to discover causative molecular lesions for a set of rare, severe phenotypes hypothesized to be caused by either somatic mutations, germline de novo heterozygous mutations, germline inherited recessive, or germline inherited dominant mutations in currently unknown or uncharacterized genes. The goal of this research is threefold: to identify causative sequence variants for disorders whose molecular etiology was previously unknown, to apply this insight to both the rare disorders under study and more common phenotypes, and to enhance the study of mutation on a genome-wide level.

We plan to recruit approximately three to six affected individuals along with both parents for each phenotype under study. Prospectively recruited trios will be brought to the NIH Clinical Center for brief clinical evaluations and molecular evaluation. Each trio will be consented to whole genome sequencing with the option to learn clinically relevant results, that is, those that explain the disorder in question (what we refer to as the primary variant ) as well as other clinically relevant findings discovered incidentally as part of the WGMS process (what we refer to as secondary variants ). Participants will be offered a return visit to NIH to learn these results, and will be asked to complete surveys and participate in interviews related to their decisions about participation in the study and to learn individual genotype results.

The NIH Intramural Sequencing Center (NISC) will screen for sequence variants that conform to the hypothesized inheritance pattern. These variants will be validated, for example by using trios for de novo phenotypes, or with additional cases. We have started developing analytic algorithms to distinguish potentially pathogenic genetic alterations from normal variation. All sequence variants deemed clinically relevant will be validated in a CLIA-certified laboratory and the results returned to that participant, should they choose to learn these findings. This protocol is being designed in a way that will provide the long-term potential for pursuing many different clinical projects.","Background:

- A number of rare inherited diseases affect only a few patients, and the genetic causes of these conditions remain unknown. Researchers are studying the use of a new technology called whole genome sequencing to learn which gene or genes cause these conditions. Understanding the genes that cause these diseases is important to improve diagnosis and treatment of affected patients.

Objectives:

To identify the genetic cause of disorders that are difficult to identify with existing techniques.
To develop best practices for the medical and counseling challenges of whole genome sequencing.

Eligibility:

Individuals who have one of the rare disorders under consideration in this study. These conditions are generally those in which the genetic cause of the disorder is unknown. The eligibility of most individual participants will be decided on a case-by-case basis by the researchers.
Family members of affected individuals, if that family member (often a parent) may provide genetic information.

Design:

Participants in this study will have at least one and in some cases several of the following procedures:
A medical genetics evaluation.
Other tests that may include x-rays, magnetic resonance imaging (MRI) exams, and consultations with other doctors. Not all studies are necessary for each person, but the information from the tests may be required to proceed with some of our gene sequencing studies.
Clinical photographs to document certain aspects of the disorder.
Blood and skin biopsy samples, or other tissue samples, as required by the study doctors.
Genetic testing, as decided by the researchers. However, most participants in this study can expect to undergo whole genome sequencing, which is a technique to study all of a person s genes.
Some participants may be asked to take part in a telephone interview and/or a web-based survey.
Participants will have choices about what kinds of results from whole genome sequencing they wish to learn.
After the tests have been completed and the results of the genetic studies are known, participants will be offered a return visit to the National Institutes of Health to learn these results. During this visit, participants will be asked to complete surveys and participate in interviews related to their decisions to participate in the study and to learn individual genetic test results."
Completed,August 2008,21 Years,,Actual,25,"This is a pilot clinical trial of hematopoietic stem cell transplantation for patients with the diagnosis of a genetic disease of blood cells that do not have an HLA-matched sibling donor. The stem cells will be derived from a 1) matched unrelated donor (MUD) or 2) unrelated umbilical cord blood (UCB). Patients will receive a novel conditioning regimen with Busulfan, Cytoxan and Fludarabine (Bu/Cy/Flu) and either Alemtuzumab (Campath 1H) for recipients of a MUD or rabbit Antithymocyte Globulin (rATG) for recipients of unrelated UCB prior to hematopoietic stem cell transplant (HSCT).

It is hypothesized that reduced dosages of Cytoxan will decrease the acute toxicities associated with the standard chemotherapies of Busulfan and Cytoxan (i.e. sinusoidal obstructive syndrome (SOS), hemorrhagic cystitis and mucositis). And the addition of fludarabine to a conditioning regimen with myeloablative doses of Busulfan and reduced dosages of Cytoxan prior to HSCT will overcome the engraftment barrier posed by an intact immune system, which is seen in patients with a genetic disease.","This is a clinical trial of bone marrow transplantation for patients with the diagnosis of a genetic disease of blood cells that do not have an HLA-matched sibling donor. Genetic diseases of blood cell include: Red blood cell defects e.g. hemoglobinopathies (sickle cell disease and thalassemia), Blackfan-Diamond anemia and congenital or chronic hemolytic anemias; White blood cells defects/immune deficiencies e.g. chronic granulomatous disease, Wiskott-Aldrich syndrome,Osteopetrosis, Kostmann's syndrome (congenital neutropenia), Hereditary Lymphohistiocytosis (HLH); Platelets defects e.g.Congenital amegakaryocytic thrombocytopenia; Metabolic/storage disorders e.g. leukodystrophies,mucopolysaccharidoses as Hurler disease;Stem cell defects e.g.reticular agenesis, among many other rare similar conditions.

The study treatment plan uses a new transplant treatment regimen that aims to try to decrease the acute toxicities and complications associated with the standard treatment plans and to improve outcome

The blood stem cells will be derived from either unrelated donor or unrelated umbilical cord blood."
Recruiting,November 2012,,18 Years,Anticipated,6000,"The goal of this study is to further develop a non-invasive prenatal blood test that can diagnose genetic disorders in the fetus by looking at fetal DNA (genetic material) found in the mother's bloodstream during pregnancy.

Women carrying a fetus diagnosed with microdeletions/microduplications (small missing or extra pieces of DNA that can cause problems), aneuploidy (trisomy 21, 18, or 13) or other genetic disorders will be asked to participate.

If this study is successful, it will reduce the need for invasive procedures during pregnancy such as amniocentesis and chorionic villus sampling (CVS) but still enable women to find out accurate information regarding their baby's health early in the pregnancy.",The purpose of this study is to collect maternal blood samples from pregnant women carrying a fetus with a confirmed diagnosis of chromosomal abnormality or genetic disorder including microdeletions in order to further develop a non-invasive prenatal screening test based on fetal DNA isolated from maternal blood.
Unknown status,,,,,4,,"The objective of this study is to validate the performance characteristics of the GeneTrait CGH Microarray System DX. Reproducibility among sites, lots, and operators will be evaluated."
Unknown status,June 2013,,,,,,The objective of this protocol is to enable collection of biospecimens to facilitate current and future multidisciplinary research in rare genetic disorders and medical conditions.
